"Renewable energy share of electricity capacity and generation (%) by Region/country/area, Indicator and Year"

"Region/country/area","Indicator","Year",Renewable energy share of electricity capacity and generation (%)
"Australia","RE share of electricity capacity (%)","2002",15.39
"Australia","RE share of electricity capacity (%)","2003",15.28
"Australia","RE share of electricity capacity (%)","2004",15.87
"Australia","RE share of electricity capacity (%)","2005",18.07
"Australia","RE share of electricity capacity (%)","2006",18.19
"Australia","RE share of electricity capacity (%)","2007",18.11
"Australia","RE share of electricity capacity (%)","2008",18.08
"Australia","RE share of electricity capacity (%)","2009",18.12
"Australia","RE share of electricity capacity (%)","2010",18.49
"Australia","RE share of electricity capacity (%)","2011",19.13
"Australia","RE share of electricity capacity (%)","2012",20.97
"Australia","RE share of electricity capacity (%)","2013",22.80
"Australia","RE share of electricity capacity (%)","2014",24.24
"Australia","RE share of electricity capacity (%)","2015",23.96
"Australia","RE share of electricity capacity (%)","2016",25.93
"Australia","RE share of electricity capacity (%)","2017",29.08
"Australia","RE share of electricity capacity (%)","2018",33.58
"Australia","RE share of electricity capacity (%)","2019",38.26
"Australia","RE share of electricity capacity (%)","2020",42.23
"Australia","RE share of electricity capacity (%)","2021",45.02
"Australia","RE share of electricity capacity (%)","2022",48.07
"Australia","RE share of electricity capacity (%)","2023",49.56
"Australia","RE share of electricity capacity (%)","2024",52.50
"Australia","RE share of electricity generation (%)","2000",8.37
"Australia","RE share of electricity generation (%)","2001",8.09
"Australia","RE share of electricity generation (%)","2002",7.85
"Australia","RE share of electricity generation (%)","2003",8.43
"Australia","RE share of electricity generation (%)","2004",8.18
"Australia","RE share of electricity generation (%)","2005",8.79
"Australia","RE share of electricity generation (%)","2006",9.30
"Australia","RE share of electricity generation (%)","2007",8.64
"Australia","RE share of electricity generation (%)","2008",8.11
"Australia","RE share of electricity generation (%)","2009",7.50
"Australia","RE share of electricity generation (%)","2010",8.60
"Australia","RE share of electricity generation (%)","2011",10.35
"Australia","RE share of electricity generation (%)","2012",10.49
"Australia","RE share of electricity generation (%)","2013",13.11
"Australia","RE share of electricity generation (%)","2014",14.58
"Australia","RE share of electricity generation (%)","2015",13.28
"Australia","RE share of electricity generation (%)","2016",14.47
"Australia","RE share of electricity generation (%)","2017",15.58
"Australia","RE share of electricity generation (%)","2018",17.02
"Australia","RE share of electricity generation (%)","2019",19.57
"Australia","RE share of electricity generation (%)","2020",22.45
"Australia","RE share of electricity generation (%)","2021",26.50
"Australia","RE share of electricity generation (%)","2022",30.67
"Australia","RE share of electricity generation (%)","2023",33.60
"Australia","RE share of electricity generation (%)","2024",-
"Austria","RE share of electricity capacity (%)","2000",70.09
"Austria","RE share of electricity capacity (%)","2001",69.10
"Austria","RE share of electricity capacity (%)","2002",69.50
"Austria","RE share of electricity capacity (%)","2003",70.86
"Austria","RE share of electricity capacity (%)","2004",70.40
"Austria","RE share of electricity capacity (%)","2005",74.56
"Austria","RE share of electricity capacity (%)","2006",75.79
"Austria","RE share of electricity capacity (%)","2007",78.23
"Austria","RE share of electricity capacity (%)","2008",75.18
"Austria","RE share of electricity capacity (%)","2009",75.68
"Austria","RE share of electricity capacity (%)","2010",75.79
"Austria","RE share of electricity capacity (%)","2011",73.81
"Austria","RE share of electricity capacity (%)","2012",71.97
"Austria","RE share of electricity capacity (%)","2013",72.07
"Austria","RE share of electricity capacity (%)","2014",73.45
"Austria","RE share of electricity capacity (%)","2015",74.67
"Austria","RE share of electricity capacity (%)","2016",76.68
"Austria","RE share of electricity capacity (%)","2017",78.64
"Austria","RE share of electricity capacity (%)","2018",79.48
"Austria","RE share of electricity capacity (%)","2019",80.20
"Austria","RE share of electricity capacity (%)","2020",80.28
"Austria","RE share of electricity capacity (%)","2021",78.66
"Austria","RE share of electricity capacity (%)","2022",82.51
"Austria","RE share of electricity capacity (%)","2023",83.73
"Austria","RE share of electricity capacity (%)","2024",84.96
"Austria","RE share of electricity generation (%)","2000",70.91
"Austria","RE share of electricity generation (%)","2001",67.63
"Austria","RE share of electricity generation (%)","2002",67.03
"Austria","RE share of electricity generation (%)","2003",58.68
"Austria","RE share of electricity generation (%)","2004",62.00
"Austria","RE share of electricity generation (%)","2005",61.17
"Austria","RE share of electricity generation (%)","2006",62.86
"Austria","RE share of electricity generation (%)","2007",66.34
"Austria","RE share of electricity generation (%)","2008",66.61
"Austria","RE share of electricity generation (%)","2009",68.29
"Austria","RE share of electricity generation (%)","2010",63.26
"Austria","RE share of electricity generation (%)","2011",62.16
"Austria","RE share of electricity generation (%)","2012",70.70
"Austria","RE share of electricity generation (%)","2013",73.86
"Austria","RE share of electricity generation (%)","2014",76.69
"Austria","RE share of electricity generation (%)","2015",72.87
"Austria","RE share of electricity generation (%)","2016",74.78
"Austria","RE share of electricity generation (%)","2017",71.58
"Austria","RE share of electricity generation (%)","2018",72.95
"Austria","RE share of electricity generation (%)","2019",73.60
"Austria","RE share of electricity generation (%)","2020",76.39
"Austria","RE share of electricity generation (%)","2021",74.60
"Austria","RE share of electricity generation (%)","2022",72.85
"Austria","RE share of electricity generation (%)","2023",80.13
"Austria","RE share of electricity generation (%)","2024",-
"Azerbaijan","RE share of electricity capacity (%)","2000",18.77
"Azerbaijan","RE share of electricity capacity (%)","2001",18.08
"Azerbaijan","RE share of electricity capacity (%)","2002",17.68
"Azerbaijan","RE share of electricity capacity (%)","2003",17.10
"Azerbaijan","RE share of electricity capacity (%)","2004",17.12
"Azerbaijan","RE share of electricity capacity (%)","2005",18.81
"Azerbaijan","RE share of electricity capacity (%)","2006",18.23
"Azerbaijan","RE share of electricity capacity (%)","2007",17.90
"Azerbaijan","RE share of electricity capacity (%)","2008",17.68
"Azerbaijan","RE share of electricity capacity (%)","2009",15.48
"Azerbaijan","RE share of electricity capacity (%)","2010",15.59
"Azerbaijan","RE share of electricity capacity (%)","2011",15.76
"Azerbaijan","RE share of electricity capacity (%)","2012",15.97
"Azerbaijan","RE share of electricity capacity (%)","2013",14.99
"Azerbaijan","RE share of electricity capacity (%)","2014",15.23
"Azerbaijan","RE share of electricity capacity (%)","2015",14.78
"Azerbaijan","RE share of electricity capacity (%)","2016",14.96
"Azerbaijan","RE share of electricity capacity (%)","2017",15.03
"Azerbaijan","RE share of electricity capacity (%)","2018",16.31
"Azerbaijan","RE share of electricity capacity (%)","2019",16.87
"Azerbaijan","RE share of electricity capacity (%)","2020",17.00
"Azerbaijan","RE share of electricity capacity (%)","2021",16.52
"Azerbaijan","RE share of electricity capacity (%)","2022",16.61
"Azerbaijan","RE share of electricity capacity (%)","2023",20.28
"Azerbaijan","RE share of electricity capacity (%)","2024",21.29
"Azerbaijan","RE share of electricity generation (%)","2000",8.20
"Azerbaijan","RE share of electricity generation (%)","2001",6.86
"Azerbaijan","RE share of electricity generation (%)","2002",10.80
"Azerbaijan","RE share of electricity generation (%)","2003",11.60
"Azerbaijan","RE share of electricity generation (%)","2004",12.67
"Azerbaijan","RE share of electricity generation (%)","2005",13.16
"Azerbaijan","RE share of electricity generation (%)","2006",10.26
"Azerbaijan","RE share of electricity generation (%)","2007",10.82
"Azerbaijan","RE share of electricity generation (%)","2008",10.31
"Azerbaijan","RE share of electricity generation (%)","2009",12.25
"Azerbaijan","RE share of electricity generation (%)","2010",18.42
"Azerbaijan","RE share of electricity generation (%)","2011",13.19
"Azerbaijan","RE share of electricity generation (%)","2012",7.92
"Azerbaijan","RE share of electricity generation (%)","2013",6.96
"Azerbaijan","RE share of electricity generation (%)","2014",5.98
"Azerbaijan","RE share of electricity generation (%)","2015",7.41
"Azerbaijan","RE share of electricity generation (%)","2016",8.78
"Azerbaijan","RE share of electricity generation (%)","2017",8.12
"Azerbaijan","RE share of electricity generation (%)","2018",8.13
"Azerbaijan","RE share of electricity generation (%)","2019",7.33
"Azerbaijan","RE share of electricity generation (%)","2020",5.47
"Azerbaijan","RE share of electricity generation (%)","2021",5.80
"Azerbaijan","RE share of electricity generation (%)","2022",6.70
"Azerbaijan","RE share of electricity generation (%)","2023",7.24
"Azerbaijan","RE share of electricity generation (%)","2024",-
"Bahamas (the)","RE share of electricity capacity (%)","2000",-
"Bahamas (the)","RE share of electricity capacity (%)","2001",-
"Bahamas (the)","RE share of electricity capacity (%)","2002",0.23
"Bahamas (the)","RE share of electricity capacity (%)","2003",0.20
"Bahamas (the)","RE share of electricity capacity (%)","2004",0.20
"Bahamas (the)","RE share of electricity capacity (%)","2005",0.19
"Bahamas (the)","RE share of electricity capacity (%)","2006",0.19
"Bahamas (the)","RE share of electricity capacity (%)","2007",0.17
"Bahamas (the)","RE share of electricity capacity (%)","2008",0.17
"Bahamas (the)","RE share of electricity capacity (%)","2009",0.19
"Bahamas (the)","RE share of electricity capacity (%)","2010",0.21
"Bahamas (the)","RE share of electricity capacity (%)","2011",0.29
"Bahamas (the)","RE share of electricity capacity (%)","2012",0.30
"Bahamas (the)","RE share of electricity capacity (%)","2013",0.38
"Bahamas (the)","RE share of electricity capacity (%)","2014",0.47
"Bahamas (the)","RE share of electricity capacity (%)","2015",0.58
"Bahamas (the)","RE share of electricity capacity (%)","2016",0.56
"Bahamas (the)","RE share of electricity capacity (%)","2017",0.55
"Bahamas (the)","RE share of electricity capacity (%)","2018",0.56
"Bahamas (the)","RE share of electricity capacity (%)","2019",0.68
"Bahamas (the)","RE share of electricity capacity (%)","2020",0.70
"Bahamas (the)","RE share of electricity capacity (%)","2021",1.24
"Bahamas (the)","RE share of electricity capacity (%)","2022",1.73
"Bahamas (the)","RE share of electricity capacity (%)","2023",1.73
"Bahamas (the)","RE share of electricity capacity (%)","2024",2.35
"Bahamas (the)","RE share of electricity generation (%)","2000",-
"Bahamas (the)","RE share of electricity generation (%)","2001",-
"Bahamas (the)","RE share of electricity generation (%)","2002",0.34
"Bahamas (the)","RE share of electricity generation (%)","2003",0.32
"Bahamas (the)","RE share of electricity generation (%)","2004",0.33
"Bahamas (the)","RE share of electricity generation (%)","2005",0.30
"Bahamas (the)","RE share of electricity generation (%)","2006",0.29
"Bahamas (the)","RE share of electricity generation (%)","2007",0.28
"Bahamas (the)","RE share of electricity generation (%)","2008",0.29
"Bahamas (the)","RE share of electricity generation (%)","2009",0.32
"Bahamas (the)","RE share of electricity generation (%)","2010",0.35
"Bahamas (the)","RE share of electricity generation (%)","2011",0.39
"Bahamas (the)","RE share of electricity generation (%)","2012",0.45
"Bahamas (the)","RE share of electricity generation (%)","2013",0.48
"Bahamas (the)","RE share of electricity generation (%)","2014",0.54
"Bahamas (the)","RE share of electricity generation (%)","2015",0.55
"Bahamas (the)","RE share of electricity generation (%)","2016",0.59
"Bahamas (the)","RE share of electricity generation (%)","2017",0.62
"Bahamas (the)","RE share of electricity generation (%)","2018",0.62
"Bahamas (the)","RE share of electricity generation (%)","2019",0.71
"Bahamas (the)","RE share of electricity generation (%)","2020",0.87
"Bahamas (the)","RE share of electricity generation (%)","2021",1.00
"Bahamas (the)","RE share of electricity generation (%)","2022",1.19
"Bahamas (the)","RE share of electricity generation (%)","2023",1.39
"Bahamas (the)","RE share of electricity generation (%)","2024",-
"Bahrain","RE share of electricity capacity (%)","2000",-
"Bahrain","RE share of electricity capacity (%)","2001",-
"Bahrain","RE share of electricity capacity (%)","2002",-
"Bahrain","RE share of electricity capacity (%)","2003",-
"Bahrain","RE share of electricity capacity (%)","2004",-
"Bahrain","RE share of electricity capacity (%)","2005",-
"Bahrain","RE share of electricity capacity (%)","2006",-
"Bahrain","RE share of electricity capacity (%)","2007",-
"Bahrain","RE share of electricity capacity (%)","2008",0.01
"Bahrain","RE share of electricity capacity (%)","2009",0.01
"Bahrain","RE share of electricity capacity (%)","2010",0.01
"Bahrain","RE share of electricity capacity (%)","2011",0.01
"Bahrain","RE share of electricity capacity (%)","2012",0.01
"Bahrain","RE share of electricity capacity (%)","2013",0.01
"Bahrain","RE share of electricity capacity (%)","2014",0.08
"Bahrain","RE share of electricity capacity (%)","2015",0.08
"Bahrain","RE share of electricity capacity (%)","2016",0.10
"Bahrain","RE share of electricity capacity (%)","2017",0.10
"Bahrain","RE share of electricity capacity (%)","2018",0.10
"Bahrain","RE share of electricity capacity (%)","2019",0.12
"Bahrain","RE share of electricity capacity (%)","2020",0.12
"Bahrain","RE share of electricity capacity (%)","2021",0.22
"Bahrain","RE share of electricity capacity (%)","2022",0.49
"Bahrain","RE share of electricity capacity (%)","2023",0.60
"Bahrain","RE share of electricity capacity (%)","2024",0.69
"Bahrain","RE share of electricity generation (%)","2000",-
"Bahrain","RE share of electricity generation (%)","2001",-
"Bahrain","RE share of electricity generation (%)","2002",-
"Bahrain","RE share of electricity generation (%)","2003",-
"Bahrain","RE share of electricity generation (%)","2004",-
"Bahrain","RE share of electricity generation (%)","2005",-
"Bahrain","RE share of electricity generation (%)","2006",-
"Bahrain","RE share of electricity generation (%)","2007",-
"Bahrain","RE share of electricity generation (%)","2008",0.01
"Bahrain","RE share of electricity generation (%)","2009",0.01
"Bahrain","RE share of electricity generation (%)","2010",0.01
"Bahrain","RE share of electricity generation (%)","2011",0.00
"Bahrain","RE share of electricity generation (%)","2012",0.00
"Bahrain","RE share of electricity generation (%)","2013",0.00
"Bahrain","RE share of electricity generation (%)","2014",0.04
"Bahrain","RE share of electricity generation (%)","2015",0.04
"Bahrain","RE share of electricity generation (%)","2016",0.04
"Bahrain","RE share of electricity generation (%)","2017",0.04
"Bahrain","RE share of electricity generation (%)","2018",0.04
"Bahrain","RE share of electricity generation (%)","2019",0.06
"Bahrain","RE share of electricity generation (%)","2020",0.06
"Bahrain","RE share of electricity generation (%)","2021",0.11
"Bahrain","RE share of electricity generation (%)","2022",0.23
"Bahrain","RE share of electricity generation (%)","2023",0.25
"Bahrain","RE share of electricity generation (%)","2024",-
"Bangladesh","RE share of electricity capacity (%)","2000",6.09
"Bangladesh","RE share of electricity capacity (%)","2001",5.61
"Bangladesh","RE share of electricity capacity (%)","2002",5.03
"Bangladesh","RE share of electricity capacity (%)","2003",4.90
"Bangladesh","RE share of electricity capacity (%)","2004",4.54
"Bangladesh","RE share of electricity capacity (%)","2005",4.25
"Bangladesh","RE share of electricity capacity (%)","2006",4.19
"Bangladesh","RE share of electricity capacity (%)","2007",4.11
"Bangladesh","RE share of electricity capacity (%)","2008",3.87
"Bangladesh","RE share of electricity capacity (%)","2009",3.74
"Bangladesh","RE share of electricity capacity (%)","2010",3.55
"Bangladesh","RE share of electricity capacity (%)","2011",3.49
"Bangladesh","RE share of electricity capacity (%)","2012",3.56
"Bangladesh","RE share of electricity capacity (%)","2013",3.64
"Bangladesh","RE share of electricity capacity (%)","2014",3.52
"Bangladesh","RE share of electricity capacity (%)","2015",3.38
"Bangladesh","RE share of electricity capacity (%)","2016",2.90
"Bangladesh","RE share of electricity capacity (%)","2017",3.16
"Bangladesh","RE share of electricity capacity (%)","2018",2.65
"Bangladesh","RE share of electricity capacity (%)","2019",2.59
"Bangladesh","RE share of electricity capacity (%)","2020",2.62
"Bangladesh","RE share of electricity capacity (%)","2021",3.26
"Bangladesh","RE share of electricity capacity (%)","2022",3.15
"Bangladesh","RE share of electricity capacity (%)","2023",3.60
"Bangladesh","RE share of electricity capacity (%)","2024",3.98
"Bangladesh","RE share of electricity generation (%)","2000",7.81
"Bangladesh","RE share of electricity generation (%)","2001",6.60
"Bangladesh","RE share of electricity generation (%)","2002",5.91
"Bangladesh","RE share of electricity generation (%)","2003",4.96
"Bangladesh","RE share of electricity generation (%)","2004",4.21
"Bangladesh","RE share of electricity generation (%)","2005",3.52
"Bangladesh","RE share of electricity generation (%)","2006",3.21
"Bangladesh","RE share of electricity generation (%)","2007",2.45
"Bangladesh","RE share of electricity generation (%)","2008",2.17
"Bangladesh","RE share of electricity generation (%)","2009",1.65
"Bangladesh","RE share of electricity generation (%)","2010",2.18
"Bangladesh","RE share of electricity generation (%)","2011",2.30
"Bangladesh","RE share of electricity generation (%)","2012",2.18
"Bangladesh","RE share of electricity generation (%)","2013",2.00
"Bangladesh","RE share of electricity generation (%)","2014",1.74
"Bangladesh","RE share of electricity generation (%)","2015",2.00
"Bangladesh","RE share of electricity generation (%)","2016",2.02
"Bangladesh","RE share of electricity generation (%)","2017",2.01
"Bangladesh","RE share of electricity generation (%)","2018",1.66
"Bangladesh","RE share of electricity generation (%)","2019",1.52
"Bangladesh","RE share of electricity generation (%)","2020",1.50
"Bangladesh","RE share of electricity generation (%)","2021",1.52
"Bangladesh","RE share of electricity generation (%)","2022",1.70
"Bangladesh","RE share of electricity generation (%)","2023",2.08
"Bangladesh","RE share of electricity generation (%)","2024",-
"Barbados","RE share of electricity capacity (%)","2000",0.02
"Barbados","RE share of electricity capacity (%)","2001",0.08
"Barbados","RE share of electricity capacity (%)","2002",0.07
"Barbados","RE share of electricity capacity (%)","2003",0.07
"Barbados","RE share of electricity capacity (%)","2004",0.07
"Barbados","RE share of electricity capacity (%)","2005",0.12
"Barbados","RE share of electricity capacity (%)","2006",0.12
"Barbados","RE share of electricity capacity (%)","2007",0.31
"Barbados","RE share of electricity capacity (%)","2008",0.31
"Barbados","RE share of electricity capacity (%)","2009",0.41
"Barbados","RE share of electricity capacity (%)","2010",0.51
"Barbados","RE share of electricity capacity (%)","2011",0.63
"Barbados","RE share of electricity capacity (%)","2012",0.75
"Barbados","RE share of electricity capacity (%)","2013",0.23
"Barbados","RE share of electricity capacity (%)","2014",0.65
"Barbados","RE share of electricity capacity (%)","2015",1.17
"Barbados","RE share of electricity capacity (%)","2016",5.36
"Barbados","RE share of electricity capacity (%)","2017",5.86
"Barbados","RE share of electricity capacity (%)","2018",6.14
"Barbados","RE share of electricity capacity (%)","2019",11.17
"Barbados","RE share of electricity capacity (%)","2020",15.69
"Barbados","RE share of electricity capacity (%)","2021",19.48
"Barbados","RE share of electricity capacity (%)","2022",19.16
"Barbados","RE share of electricity capacity (%)","2023",47.62
"Barbados","RE share of electricity capacity (%)","2024",19.16
"Barbados","RE share of electricity generation (%)","2000",0.00
"Barbados","RE share of electricity generation (%)","2001",0.02
"Barbados","RE share of electricity generation (%)","2002",0.02
"Barbados","RE share of electricity generation (%)","2003",0.02
"Barbados","RE share of electricity generation (%)","2004",0.02
"Barbados","RE share of electricity generation (%)","2005",0.04
"Barbados","RE share of electricity generation (%)","2006",0.03
"Barbados","RE share of electricity generation (%)","2007",0.09
"Barbados","RE share of electricity generation (%)","2008",0.09
"Barbados","RE share of electricity generation (%)","2009",0.12
"Barbados","RE share of electricity generation (%)","2010",0.15
"Barbados","RE share of electricity generation (%)","2011",0.25
"Barbados","RE share of electricity generation (%)","2012",0.31
"Barbados","RE share of electricity generation (%)","2013",0.43
"Barbados","RE share of electricity generation (%)","2014",0.98
"Barbados","RE share of electricity generation (%)","2015",1.34
"Barbados","RE share of electricity generation (%)","2016",1.23
"Barbados","RE share of electricity generation (%)","2017",2.74
"Barbados","RE share of electricity generation (%)","2018",2.70
"Barbados","RE share of electricity generation (%)","2019",3.80
"Barbados","RE share of electricity generation (%)","2020",5.82
"Barbados","RE share of electricity generation (%)","2021",7.07
"Barbados","RE share of electricity generation (%)","2022",8.40
"Barbados","RE share of electricity generation (%)","2023",9.46
"Barbados","RE share of electricity generation (%)","2024",-
"Belarus","RE share of electricity capacity (%)","2000",0.13
"Belarus","RE share of electricity capacity (%)","2001",0.14
"Belarus","RE share of electricity capacity (%)","2002",0.16
"Belarus","RE share of electricity capacity (%)","2003",0.16
"Belarus","RE share of electricity capacity (%)","2004",0.16
"Belarus","RE share of electricity capacity (%)","2005",0.16
"Belarus","RE share of electricity capacity (%)","2006",0.20
"Belarus","RE share of electricity capacity (%)","2007",0.25
"Belarus","RE share of electricity capacity (%)","2008",0.35
"Belarus","RE share of electricity capacity (%)","2009",0.34
"Belarus","RE share of electricity capacity (%)","2010",0.35
"Belarus","RE share of electricity capacity (%)","2011",0.41
"Belarus","RE share of electricity capacity (%)","2012",0.61
"Belarus","RE share of electricity capacity (%)","2013",0.80
"Belarus","RE share of electricity capacity (%)","2014",0.79
"Belarus","RE share of electricity capacity (%)","2015",0.98
"Belarus","RE share of electricity capacity (%)","2016",2.21
"Belarus","RE share of electricity capacity (%)","2017",2.95
"Belarus","RE share of electricity capacity (%)","2018",3.82
"Belarus","RE share of electricity capacity (%)","2019",4.05
"Belarus","RE share of electricity capacity (%)","2020",4.77
"Belarus","RE share of electricity capacity (%)","2021",4.34
"Belarus","RE share of electricity capacity (%)","2022",5.45
"Belarus","RE share of electricity capacity (%)","2023",5.48
"Belarus","RE share of electricity capacity (%)","2024",4.84
"Belarus","RE share of electricity generation (%)","2000",0.11
"Belarus","RE share of electricity generation (%)","2001",0.12
"Belarus","RE share of electricity generation (%)","2002",0.11
"Belarus","RE share of electricity generation (%)","2003",0.11
"Belarus","RE share of electricity generation (%)","2004",0.11
"Belarus","RE share of electricity generation (%)","2005",0.12
"Belarus","RE share of electricity generation (%)","2006",0.12
"Belarus","RE share of electricity generation (%)","2007",0.16
"Belarus","RE share of electricity generation (%)","2008",0.21
"Belarus","RE share of electricity generation (%)","2009",0.35
"Belarus","RE share of electricity generation (%)","2010",0.37
"Belarus","RE share of electricity generation (%)","2011",0.43
"Belarus","RE share of electricity generation (%)","2012",0.55
"Belarus","RE share of electricity generation (%)","2013",0.85
"Belarus","RE share of electricity generation (%)","2014",0.73
"Belarus","RE share of electricity generation (%)","2015",0.82
"Belarus","RE share of electricity generation (%)","2016",1.17
"Belarus","RE share of electricity generation (%)","2017",2.18
"Belarus","RE share of electricity generation (%)","2018",1.99
"Belarus","RE share of electricity generation (%)","2019",2.50
"Belarus","RE share of electricity generation (%)","2020",3.49
"Belarus","RE share of electricity generation (%)","2021",3.37
"Belarus","RE share of electricity generation (%)","2022",3.24
"Belarus","RE share of electricity generation (%)","2023",2.93
"Belarus","RE share of electricity generation (%)","2024",-
"Belgium","RE share of electricity capacity (%)","2000",1.48
"Belgium","RE share of electricity capacity (%)","2001",1.79
"Belgium","RE share of electricity capacity (%)","2002",1.93
"Belgium","RE share of electricity capacity (%)","2003",2.61
"Belgium","RE share of electricity capacity (%)","2004",2.93
"Belgium","RE share of electricity capacity (%)","2005",4.90
"Belgium","RE share of electricity capacity (%)","2006",5.41
"Belgium","RE share of electricity capacity (%)","2007",6.03
"Belgium","RE share of electricity capacity (%)","2008",7.12
"Belgium","RE share of electricity capacity (%)","2009",11.31
"Belgium","RE share of electricity capacity (%)","2010",15.45
"Belgium","RE share of electricity capacity (%)","2011",19.84
"Belgium","RE share of electricity capacity (%)","2012",24.38
"Belgium","RE share of electricity capacity (%)","2013",27.35
"Belgium","RE share of electricity capacity (%)","2014",28.48
"Belgium","RE share of electricity capacity (%)","2015",30.01
"Belgium","RE share of electricity capacity (%)","2016",31.18
"Belgium","RE share of electricity capacity (%)","2017",33.51
"Belgium","RE share of electricity capacity (%)","2018",36.42
"Belgium","RE share of electricity capacity (%)","2019",39.47
"Belgium","RE share of electricity capacity (%)","2020",43.62
"Belgium","RE share of electricity capacity (%)","2021",45.02
"Belgium","RE share of electricity capacity (%)","2022",48.97
"Belgium","RE share of electricity capacity (%)","2023",54.18
"Belgium","RE share of electricity capacity (%)","2024",56.71
"Belgium","RE share of electricity generation (%)","2000",1.24
"Belgium","RE share of electricity generation (%)","2001",1.35
"Belgium","RE share of electricity generation (%)","2002",1.39
"Belgium","RE share of electricity generation (%)","2003",1.41
"Belgium","RE share of electricity generation (%)","2004",1.78
"Belgium","RE share of electricity generation (%)","2005",2.46
"Belgium","RE share of electricity generation (%)","2006",3.49
"Belgium","RE share of electricity generation (%)","2007",3.96
"Belgium","RE share of electricity generation (%)","2008",5.23
"Belgium","RE share of electricity generation (%)","2009",5.96
"Belgium","RE share of electricity generation (%)","2010",7.04
"Belgium","RE share of electricity generation (%)","2011",9.25
"Belgium","RE share of electricity generation (%)","2012",12.68
"Belgium","RE share of electricity generation (%)","2013",14.05
"Belgium","RE share of electricity generation (%)","2014",16.83
"Belgium","RE share of electricity generation (%)","2015",20.74
"Belgium","RE share of electricity generation (%)","2016",16.66
"Belgium","RE share of electricity generation (%)","2017",18.25
"Belgium","RE share of electricity generation (%)","2018",22.90
"Belgium","RE share of electricity generation (%)","2019",20.80
"Belgium","RE share of electricity generation (%)","2020",26.23
"Belgium","RE share of electricity generation (%)","2021",22.63
"Belgium","RE share of electricity generation (%)","2022",25.46
"Belgium","RE share of electricity generation (%)","2023",32.84
"Belgium","RE share of electricity generation (%)","2024",-
"Belize","RE share of electricity capacity (%)","2000",64.61
"Belize","RE share of electricity capacity (%)","2001",64.61
"Belize","RE share of electricity capacity (%)","2002",63.68
"Belize","RE share of electricity capacity (%)","2003",43.47
"Belize","RE share of electricity capacity (%)","2004",43.47
"Belize","RE share of electricity capacity (%)","2005",46.67
"Belize","RE share of electricity capacity (%)","2006",39.45
"Belize","RE share of electricity capacity (%)","2007",40.81
"Belize","RE share of electricity capacity (%)","2008",40.81
"Belize","RE share of electricity capacity (%)","2009",39.59
"Belize","RE share of electricity capacity (%)","2010",45.97
"Belize","RE share of electricity capacity (%)","2011",45.97
"Belize","RE share of electricity capacity (%)","2012",46.12
"Belize","RE share of electricity capacity (%)","2013",46.17
"Belize","RE share of electricity capacity (%)","2014",46.18
"Belize","RE share of electricity capacity (%)","2015",46.18
"Belize","RE share of electricity capacity (%)","2016",46.18
"Belize","RE share of electricity capacity (%)","2017",48.47
"Belize","RE share of electricity capacity (%)","2018",48.57
"Belize","RE share of electricity capacity (%)","2019",50.09
"Belize","RE share of electricity capacity (%)","2020",50.10
"Belize","RE share of electricity capacity (%)","2021",50.10
"Belize","RE share of electricity capacity (%)","2022",50.11
"Belize","RE share of electricity capacity (%)","2023",50.12
"Belize","RE share of electricity capacity (%)","2024",39.88
"Belize","RE share of electricity generation (%)","2000",52.57
"Belize","RE share of electricity generation (%)","2001",57.22
"Belize","RE share of electricity generation (%)","2002",55.91
"Belize","RE share of electricity generation (%)","2003",22.90
"Belize","RE share of electricity generation (%)","2004",39.39
"Belize","RE share of electricity generation (%)","2005",43.84
"Belize","RE share of electricity generation (%)","2006",77.90
"Belize","RE share of electricity generation (%)","2007",76.16
"Belize","RE share of electricity generation (%)","2008",85.72
"Belize","RE share of electricity generation (%)","2009",68.24
"Belize","RE share of electricity generation (%)","2010",89.09
"Belize","RE share of electricity generation (%)","2011",90.24
"Belize","RE share of electricity generation (%)","2012",86.56
"Belize","RE share of electricity generation (%)","2013",89.73
"Belize","RE share of electricity generation (%)","2014",89.85
"Belize","RE share of electricity generation (%)","2015",85.49
"Belize","RE share of electricity generation (%)","2016",85.93
"Belize","RE share of electricity generation (%)","2017",86.18
"Belize","RE share of electricity generation (%)","2018",82.27
"Belize","RE share of electricity generation (%)","2019",62.65
"Belize","RE share of electricity generation (%)","2020",95.44
"Belize","RE share of electricity generation (%)","2021",81.04
"Belize","RE share of electricity generation (%)","2022",89.72
"Belize","RE share of electricity generation (%)","2023",77.28
"Belize","RE share of electricity generation (%)","2024",-
"Benin","RE share of electricity capacity (%)","2000",0.88
"Benin","RE share of electricity capacity (%)","2001",0.83
"Benin","RE share of electricity capacity (%)","2002",0.83
"Benin","RE share of electricity capacity (%)","2003",0.83
"Benin","RE share of electricity capacity (%)","2004",0.83
"Benin","RE share of electricity capacity (%)","2005",0.81
"Benin","RE share of electricity capacity (%)","2006",0.35
"Benin","RE share of electricity capacity (%)","2007",0.29
"Benin","RE share of electricity capacity (%)","2008",0.26
"Benin","RE share of electricity capacity (%)","2009",0.35
"Benin","RE share of electricity capacity (%)","2010",0.51
"Benin","RE share of electricity capacity (%)","2011",0.50
"Benin","RE share of electricity capacity (%)","2012",0.81
"Benin","RE share of electricity capacity (%)","2013",0.36
"Benin","RE share of electricity capacity (%)","2014",0.74
"Benin","RE share of electricity capacity (%)","2015",1.90
